id;name;type;description;capacity;plan_capacity;reserve;factory_id
1;Generic Steel Tuna;website calculating;cross-platform support;2020-02-25T14:26:12;2020-02-25T19:49:50;wireless Chilean Peso Unidades de fomento;1
2;reboot;Dynamic magenta Track;actuating THX;2020-02-26T12:07:32;2020-02-25T15:37:18;Rustic Steel Soap Kina;2
3;navigating Metical;Incredible Infrastructure;Internal compressing;2020-02-26T00:53:50;2020-02-25T22:48:07;Bedfordshire;3
4;Credit Card Account;Gloves Lao People's Democratic Republic;neutral;2020-02-26T13:04:38;2020-02-26T13:06:43;Business-focused;4
5;Computer Oklahoma Identity;throughput;Village;2020-02-25T18:46:31;2020-02-25T15:11:58;Vermont indigo;5
6;JSON;New Mexico Implementation Steel;Shirt intangible;2020-02-26T07:33:24;2020-02-26T02:41:55;Crossroad invoice;6
7;Liaison;Keyboard;Central Ergonomic Concrete Ball;2020-02-25T16:55:34;2020-02-25T20:52:55;Gorgeous Rubber Cheese quantifying;7
8;cross-platform;multi-byte online Forward;open-source;2020-02-25T18:16:27;2020-02-26T10:00:18;efficient;8
9;Buckinghamshire;Practical AGP Implementation;wireless navigate grey;2020-02-26T03:10:44;2020-02-26T06:32:03;Automotive Massachusetts Checking Account;9
10;system-worthy;Ergonomic;Ergonomic Metal Keyboard full-range Cambridgeshire;2020-02-25T19:14:10;2020-02-26T10:16:12;National;10
