id;name;device_id;description
1;Andorra Industrial;Intranet primary;Mouse seamless
2;European Monetary Unit (E.M.U.-6) Money Market Account;Orchestrator;Democratic People's Republic of Korea
3;Buckinghamshire bypassing connecting;Kyat;Grocery
4;quantify;Consultant circuit support;Gorgeous Plastic Bacon
5;Gorgeous Intelligent Fresh Towels;optimize Keyboard copy;Peso Uruguayo Uruguay Peso en Unidades Indexadas CSS payment
6;Awesome;web services;Wooden
7;Ergonomic Wooden Chair;attitude Avon Communications;analyzer strategize cross-platform
8;index;Supervisor;hierarchy groupware
9;deposit backing up;Small Rubber Ball Oklahoma Money Market Account;Computers Fresh
10;transmitting Rhode Island Plastic;product Convertible Marks deliver;Brand Steel withdrawal
