id;name;description;scale;location;status
1;approach;Kip unleash;Officer Home Loan Account quantify;engineer;Fresh Avon Buckinghamshire
2;Research Borders monetize;Car;reinvent Officer;Shoes;gold
3;payment Metal;Central Tools;Somali Shilling invoice;magenta Saint Martin;synergy
4;Function-based payment Books;program;National payment;Checking Account digital AI;Licensed Frozen Table
5;upward-trending Versatile input;Utah Gorgeous;process improvement;Central Gorgeous;HDD
6;Virginia Security Central;SMTP Square;well-modulated 24/7;local area network Barbados Dollar;Granite
7;lavender;Pre-emptive;3rd generation Handcrafted Fresh Shirt Steel;Senior View Frozen;Health
8;Saint Lucia Borders Georgia;drive Balanced silver;Advanced invoice Senior;Afghanistan;connect bottom-line
9;mission-critical Organized override;Gorgeous Steel Sausages GB;Cambridgeshire bluetooth;Handcrafted Wooden Pants Human;Turkish Lira intermediate indexing
10;Lead embrace intangible;Tools;Infrastructure Practical;Diverse;maroon real-time
