id;name;phenomenon_time;result;result_time;description;level;status;resolve_time;details
1;Borders strategic Towels;2020-02-25T22:21:19;compressing Barbados Dollar Berkshire;2020-02-26T04:24:20;Group Mongolia;holistic Computers;hacking Michigan;2020-02-26T03:38:11;Senior virtual
2;Down-sized;2020-02-25T23:50:53;Senior;2020-02-25T18:13:24;Developer;Electronics Passage Czech Koruna;Corporate Handmade generating;2020-02-25T17:23:29;bi-directional
3;open-source;2020-02-25T14:39:59;Qatari Rial envisioneer Terrace;2020-02-25T16:07:55;innovate;Forward synthesizing Route;USB Avon;2020-02-25T18:47:31;Montana
4;Saint Kitts and Nevis Refined Concrete Chips copy;2020-02-26T11:29:32;transmitter redundant;2020-02-26T01:01:03;Associate;interfaces Toys;THX;2020-02-25T15:07:40;Borders
5;copy payment;2020-02-26T11:54:36;Games;2020-02-26T06:02:11;Central;Personal Loan Account contextually-based;olive grow Lake;2020-02-26T13:12:16;Re-contextualized
6;application Jersey;2020-02-25T22:38:33;RAM;2020-02-26T04:35:56;solid state;projection index;multi-byte Avon Buckinghamshire;2020-02-26T14:09:45;programming virtual Chicken
7;mission-critical withdrawal plum;2020-02-25T23:35:19;Hat Wooden one-to-one;2020-02-26T00:37:00;payment;Accounts;Ranch;2020-02-26T02:16:29;connecting Supervisor Rapid
8;aggregate;2020-02-26T12:13:33;Identity;2020-02-25T19:09:50;asymmetric e-business haptic;Designer Checking Account plum;scalable;2020-02-26T10:56:16;payment
9;Persevering;2020-02-25T20:43:37;Officer Rustic Tasty;2020-02-26T04:42:39;payment;Hat;Home Loan Account;2020-02-26T12:54:08;Lebanon
10;Directives;2020-02-26T05:30:27;Home;2020-02-25T14:13:36;payment;Sharable Unbranded Concrete Bike lime;Integration Organized;2020-02-26T10:30:01;Baby Industrial Savings Account
