id;name;type;description;capacity;plan_capacity;reserve;product_id
1;Money Market Account;Right-sized;Central Executive;2020-02-26T09:08:10;2020-02-25T15:08:41;Tuvalu JSON;1
2;Overpass Small;Arkansas Sports;olive Libyan Dinar Implementation;2020-02-25T16:02:29;2020-02-26T05:08:12;generating multi-byte;2
3;Corporate synergize;Expressway Nakfa;Operative Florida;2020-02-25T19:03:31;2020-02-26T13:18:36;GB overriding;3
4;hack Points;interface Outdoors;Ergonomic AGP auxiliary;2020-02-26T13:15:44;2020-02-26T01:16:57;Center sexy;4
5;deposit;copying black;Shirt Ergonomic Reactive;2020-02-26T03:59:06;2020-02-25T21:59:03;application withdrawal;5
6;Agent;silver;deploy turn-key Investor;2020-02-25T21:38:10;2020-02-25T17:34:00;AGP;6
7;transmit auxiliary;Garden incubate Rustic;protocol Buckinghamshire;2020-02-25T19:38:25;2020-02-25T19:38:50;rich methodology;7
8;forecast;Saint Helena e-business neural;Fresh;2020-02-26T13:50:31;2020-02-26T12:55:27;Avon Managed Sports;8
9;withdrawal synergies Interactions;indigo Borders Home;Cotton Gateway Buckinghamshire;2020-02-25T21:29:26;2020-02-25T23:44:36;SMS;9
10;empower silver;Rapid;deposit black Architect;2020-02-25T16:27:37;2020-02-26T00:40:36;Savings Account;10
